종목명,티커,터치시각,밴드종류,터치가격,이격도(%),터치전기울기(%/봉),터치전각도(도),터치후기울기(%/봉),터치후각도(도),반전각도(도),반전성공여부,구름상태,피보4,피보5,구간
대한광통신,010170.KQ,2026-03-11 00:00:00+09:00,엔상5터치,7160.0,106.51104931808779,7.618421052631577,82.52206169024578,-1.9035202086049545,-62.28514722009352,-144.80720891033928,True,양운,5089.6875,4782.1875,검증
대한광통신,010170.KQ,2026-03-25 00:00:00+09:00,엔상5터치,9500.0,104.67379416556926,3.4139402560455197,73.67381275300073,-1.9784946236559142,-63.18637867086243,-136.86019142386317,True,양운,7780.0,7400.961538461539,검증
대한광통신,010170.KQ,2026-04-02 00:00:00+09:00,엔상5터치,11290.0,95.38942734679694,-1.9784946236559142,-63.18637867086243,3.1240188383045533,72.25010504239792,135.43648371326034,False,양운,8868.75,8571.442307692309,검증
대한광통신,010170.KQ,2026-05-08 00:00:00+09:00,엔상5터치,24450.0,96.59931564086101,11.001990710019909,84.80650583663824,-5.0983899821109135,-78.90286065072515,-163.70936648736338,True,양운,18367.625,17119.08653846154,검증
두산에너빌리티,034020.KS,2001-03-06 00:00:00+09:00,엔상5터치,2837.68159731738,11.567508265815604,0.3953525580120893,21.571491560272378,-0.6170213807143541,-31.67547305873694,-53.24696461900932,True,양운,2620.96067199707,2588.753447312575,학습
두산에너빌리티,034020.KS,2001-05-23 00:00:00+09:00,엔상5터치,3581.892578125,22.714639706148883,0.5148543062438561,27.241869286104446,8.088231402177101,82.95192175985231,55.710052473747865,False,양운,3149.736276245117,3092.3264054518477,학습
두산에너빌리티,034020.KS,2001-06-18 00:00:00+09:00,엔상5터치,5747.969519087431,51.43645615333963,-0.31962873823973115,-17.725373707949885,3.644861039565391,74.65790505196243,92.38327875991232,False,양운,5316.871685791016,5270.562164306641,학습
두산에너빌리티,034020.KS,2001-09-17 00:00:00+09:00,엔하5터치,3684.751708984375,-40.21087315821862,-6.441020438805175,-81.17500537817703,-0.3857220972445094,-21.092729108961873,60.08227626921516,True,음운,4892.278585815429,5329.031267606295,학습
두산에너빌리티,034020.KS,2002-03-07 00:00:00+09:00,엔상5터치,6582.049146822408,16.62235063934898,3.5253427712264123,74.16346269234346,-1.2666681483638507,-51.70986940393466,-125.87333209627812,True,양운,5749.604870605469,5620.471919133113,학습
두산에너빌리티,034020.KS,2002-03-19 00:00:00+09:00,엔상5터치,6858.864345039289,19.869467379676724,0.8669352402715418,40.92316969202977,7.488361024513988e-07,4.290514821748325e-05,-40.92312678688155,True,양운,6242.335388183594,6151.6253333458535,학습
두산에너빌리티,034020.KS,2002-03-21 00:00:00+09:00,엔상5터치,7043.408304609403,22.214392832814962,2.5359376911324647,68.47912256710917,0.694442709101223,34.77776428745249,-33.70135827965668,True,양운,6421.3427734375,6302.0993088942305,학습
두산에너빌리티,034020.KS,2002-06-27 00:00:00+09:00,엔하5터치,3832.3519807359594,-27.229728470197852,-4.236880008226482,-76.71992990234641,1.7159674518297838,59.76800850012974,136.48793840247615,True,음운,4652.416906738281,4930.888376089242,학습
두산에너빌리티,034020.KS,2003-08-20 00:00:00+09:00,엔상5터치,4627.282993904003,16.355192946238308,6.600000846096464,81.38435290375668,-0.7713939488873081,-37.64637698380483,-119.0307298875615,True,음운,3919.1041717529297,3776.9197610708384,학습
두산에너빌리티,034020.KS,2003-09-04 00:00:00+09:00,엔상5터치,4948.359591376635,12.743527801725364,0.1911779784904244,10.823094576298374,-1.285720553734646,-52.12515171329458,-62.94824628959295,True,양운,4311.793377685547,4330.873974139874,학습
두산에너빌리티,034020.KS,2004-01-16 00:00:00+09:00,엔상5터치,4965.289061005459,9.530362731190575,1.056663520709685,46.578167489186704,-0.29239803630310796,-16.298816200736223,-62.87698368992292,True,양운,4294.492242431641,4273.014106163611,학습
