종목명,티커,터치시각,밴드종류,방향,진입가,청산가,보유봉수,청산사유,손익률(%),반전각도(도),반전성공여부,구간,이격도(%),이격도크기,이격도구간
대한광통신,010170.KQ,2002-06-27 00:00:00+09:00,엔하5터치,롱,4029.067138671875,4366.42919921875,5,5봉경과,8.373205234253843,115.14930885923,True,학습,-28.373145455184257,28.373145455184257,큼
대한광통신,010170.KQ,2010-02-05 00:00:00+09:00,엔하5터치,롱,4284.49853515625,4655.5966796875,5,5봉경과,8.661413733397778,109.86020325220387,True,학습,-9.079750114042335,9.079750114042335,작음
대한광통신,010170.KQ,2010-08-23 00:00:00+09:00,엔하5터치,롱,3113.3701171875,2443.46533203125,5,5봉경과,-21.51703009732156,-58.34520181041575,False,학습,-19.95836588038827,19.95836588038827,중간
대한광통신,010170.KQ,2010-09-27 00:00:00+09:00,엔하5터치,롱,2159.1171875,2207.311767578125,5,5봉경과,2.232142857142857,-3.3035802769140545,False,학습,-30.120109767196663,30.120109767196663,큼
대한광통신,010170.KQ,2011-08-09 00:00:00+09:00,엔하5터치,롱,1609.6990966796875,1701.268798828125,5,5봉경과,5.688622323098618,138.58614090454623,True,학습,-15.69488494385524,15.69488494385524,작음
대한광통신,010170.KQ,2012-12-26 00:00:00+09:00,엔하5터치,롱,1426.5596923828125,1474.7542724609375,5,5봉경과,3.3783780892914885,116.551185748704,True,학습,-37.36510107510176,37.36510107510176,큼
대한광통신,010170.KQ,2013-10-08 00:00:00+09:00,엔하5터치,롱,1007.2667846679688,1007.2667846679688,5,5봉경과,0.0,112.28476459158657,True,학습,-22.586860784983383,22.586860784983383,중간
대한광통신,010170.KQ,2013-10-15 00:00:00+09:00,엔하5터치,롱,1012.0862426757812,1127.7532958984375,5,5봉경과,11.428576769984792,131.0631799287114,True,학습,-20.1435917534608,20.1435917534608,중간
대한광통신,010170.KQ,2015-08-24 00:00:00+09:00,엔하5터치,롱,955.2166137695312,927.2637939453124,5,5봉경과,-2.9263330873098727,25.56000052586916,True,학습,-14.40663598046908,14.40663598046908,작음
대한광통신,010170.KQ,2018-10-29 00:00:00+09:00,엔하5터치,롱,4740.0,5280.0,5,5봉경과,11.39240506329114,138.11594549912684,True,검증,-26.648096564531105,26.648096564531105,중간
대한광통신,010170.KQ,2019-03-28 00:00:00+09:00,엔하5터치,롱,4050.0,4270.0,5,5봉경과,5.432098765432099,131.00889688099147,True,검증,-20.69397665857289,20.69397665857289,중간
대한광통신,010170.KQ,2019-08-05 00:00:00+09:00,엔하5터치,롱,3255.0,3450.0,5,5봉경과,5.990783410138248,72.85003799649664,True,검증,-24.24418739963227,24.24418739963227,중간
대한광통신,010170.KQ,2019-11-21 00:00:00+09:00,엔하5터치,롱,3290.0,3340.0,5,5봉경과,1.5197568389057752,78.7616455473087,True,검증,-16.520768313415036,16.520768313415036,작음
대한광통신,010170.KQ,2019-12-02 00:00:00+09:00,엔하5터치,롱,3240.0,3380.0,5,5봉경과,4.320987654320987,100.96671057196065,True,검증,-15.76101086786958,15.76101086786958,작음
대한광통신,010170.KQ,2020-02-03 00:00:00+09:00,엔하5터치,롱,2650.0,3050.0,5,5봉경과,15.09433962264151,129.87015284323678,True,검증,-19.80389783319211,19.80389783319211,중간
대한광통신,010170.KQ,2020-03-12 00:00:00+09:00,엔하5터치,롱,2170.0,1375.0,5,5봉경과,-36.63594470046083,-8.159441890575366,False,검증,-29.36657769676453,29.36657769676453,큼
대한광통신,010170.KQ,2021-03-09 00:00:00+09:00,엔하5터치,롱,3145.0,3435.0,5,5봉경과,9.220985691573928,107.88342700010531,True,검증,-17.887261429205502,17.887261429205502,작음
대한광통신,010170.KQ,2022-01-25 00:00:00+09:00,엔하5터치,롱,2045.0,2185.0,5,5봉경과,6.845965770171149,108.74386697342676,True,검증,-20.39084397383993,20.39084397383993,중간
대한광통신,010170.KQ,2022-02-14 00:00:00+09:00,엔하5터치,롱,1985.0,2000.0,5,5봉경과,0.7556675062972292,58.642850679115526,True,검증,-18.218523401450224,18.218523401450224,작음
대한광통신,010170.KQ,2024-03-06 00:00:00+09:00,엔하5터치,롱,1080.0,1116.0,5,5봉경과,3.333333333333333,96.5389788656799,True,검증,-17.954327909202785,17.954327909202785,작음
대한광통신,010170.KQ,2024-03-15 00:00:00+09:00,엔하5터치,롱,1061.0,1144.0,5,5봉경과,7.822808671065033,42.63223951900999,False,검증,-17.06920539636387,17.06920539636387,작음
대한광통신,010170.KQ,2024-03-19 00:00:00+09:00,엔하5터치,롱,1041.0,1105.0,5,5봉경과,6.147934678194044,88.6671925308487,True,검증,-17.859453658844505,17.859453658844505,작음
대한광통신,010170.KQ,2024-11-15 00:00:00+09:00,엔하5터치,롱,773.0,713.0,5,5봉경과,-7.761966364812419,26.969279883817777,True,검증,-22.53111783688441,22.53111783688441,중간
대한광통신,010170.KQ,2025-03-20 00:00:00+09:00,엔하5터치,롱,492.0,508.0,5,5봉경과,3.252032520325204,64.04790503428158,True,검증,-37.7483108535567,37.7483108535567,큼
두산에너빌리티,034020.KS,2001-09-17 00:00:00+09:00,엔하5터치,롱,3684.751220703125,4301.9013671875,5,5봉경과,16.74876021525845,60.0824514129604,True,학습,-40.21087315821862,40.21087315821862,큼
두산에너빌리티,034020.KS,2002-06-27 00:00:00+09:00,엔하5터치,롱,3936.9267578125,4416.73974609375,5,5봉경과,12.187501007711193,136.48799197102375,True,학습,-27.22972847019785,27.22972847019785,큼
두산에너빌리티,034020.KS,2008-09-01 00:00:00+09:00,엔하5터치,롱,46722.578125,57075.49609375,5,5봉경과,22.158276328528263,146.41396012264454,True,학습,-25.537841521692503,25.537841521692503,중간
두산에너빌리티,034020.KS,2008-10-10 00:00:00+09:00,엔하5터치,롱,41277.21875,36974.703125,5,5봉경과,-10.423463002821624,1.605919131996572,True,학습,-29.413922715541503,29.413922715541503,큼
두산에너빌리티,034020.KS,2008-10-20 00:00:00+09:00,엔하5터치,롱,38319.2421875,26890.6953125,5,5봉경과,-29.82456390728957,-3.233524067157191,False,학습,-31.69725648735266,31.69725648735266,큼
두산에너빌리티,034020.KS,2008-10-23 00:00:00+09:00,엔하5터치,롱,29747.837890625,32470.515625,5,5봉경과,9.15252309894108,151.24306299690872,True,학습,-45.14350356816347,45.14350356816347,큼
두산에너빌리티,034020.KS,2010-05-03 00:00:00+09:00,엔하5터치,롱,51159.78125,49045.1796875,5,5봉경과,-4.133327998739244,19.64783277243797,True,학습,-15.27339305405887,15.27339305405887,작음
두산에너빌리티,034020.KS,2011-03-14 00:00:00+09:00,엔하5터치,롱,39933.78125,44753.37890625,5,5봉경과,12.06897394984353,135.37984312127244,True,학습,-24.076807855366308,24.076807855366308,중간
두산에너빌리티,034020.KS,2012-04-25 00:00:00+09:00,엔하5터치,롱,37330.47265625,37887.640625,5,5봉경과,1.4925285674268498,85.75856353380377,True,학습,-17.439390550895652,17.439390550895652,작음
두산에너빌리티,034020.KS,2012-10-26 00:00:00+09:00,엔하5터치,롱,34474.96875,31828.40625,5,5봉경과,-7.676765479301559,-18.894445554306905,False,학습,-14.005775260162808,14.005775260162808,작음
두산에너빌리티,034020.KS,2012-11-30 00:00:00+09:00,엔하5터치,롱,28311.263671875,30156.892578125,5,5봉경과,6.519062263135525,91.41950181501458,True,학습,-17.275489182343897,17.275489182343897,작음
두산에너빌리티,034020.KS,2013-04-18 00:00:00+09:00,엔하5터치,롱,26770.041015625,28292.67578125,5,5봉경과,5.687831276523919,122.59699790127476,True,학습,-11.591355776627372,11.591355776627372,작음
두산에너빌리티,034020.KS,2013-12-10 00:00:00+09:00,엔하5터치,롱,24468.384765625,23299.8515625,5,5봉경과,-4.775685907827647,44.13419236093238,True,학습,-15.996016193437768,15.996016193437768,작음
두산에너빌리티,034020.KS,2014-08-06 00:00:00+09:00,엔하5터치,롱,20809.947265625,21027.09375,5,5봉경과,1.043474457687331,51.83421856740874,True,학습,-12.685634501463678,12.685634501463678,작음
두산에너빌리티,034020.KS,2014-08-11 00:00:00+09:00,엔하5터치,롱,20375.65234375,20267.080078125,5,5봉경과,-0.5328529550530111,28.34343010408383,True,학습,-13.753483170504971,13.753483170504971,작음
두산에너빌리티,034020.KS,2014-08-21 00:00:00+09:00,엔하5터치,롱,19688.021484375,20846.13671875,5,5봉경과,5.8823342675347785,92.87353004467138,True,학습,-15.07430700946715,15.07430700946715,작음
두산에너빌리티,034020.KS,2014-10-01 00:00:00+09:00,엔하5터치,롱,17914.650390625,17371.783203125,5,5봉경과,-3.030297413920455,75.33084858927322,True,학습,-14.487100353496832,14.487100353496832,작음
